date,comp,place,value,placeID
2021-01-24,I,Torino,1300.7498499718542,0
2021-01-25,I,Torino,1383.093613240041,0
2021-01-26,I,Torino,1463.8979705558281,0
2021-01-27,I,Torino,1542.392937204751,0
2021-01-28,I,Torino,1617.8232735823876,0
2021-01-29,I,Torino,1689.42644186838,0
2021-01-30,I,Torino,1756.4152589903806,0
2021-01-31,I,Torino,1818.0157898312773,0
2021-02-01,I,Torino,1873.550820496446,0
2021-02-02,I,Torino,1909.993595810087,0
2021-02-03,I,Torino,1941.5613533116639,0
2021-02-04,I,Torino,1966.8046751642912,0
2021-02-05,I,Torino,1984.9867191959577,0
2021-02-06,I,Torino,1995.7953825855648,0
2021-02-07,I,Torino,1999.2071087678016,0
2021-02-08,I,Torino,1995.3424129191694,0
2021-02-09,I,Torino,1937.0416781019567,0
2021-02-10,I,Torino,1883.2106999147302,0
2021-02-11,I,Torino,1829.8680708719767,0
2021-02-12,I,Torino,1775.1038011740534,0
2021-02-13,I,Torino,1718.2202711568325,0
2021-02-14,I,Torino,1659.2927810056144,0
2021-02-15,I,Torino,1598.7833235133105,0
2021-02-16,I,Torino,1537.32384219756,0
2021-02-17,I,Torino,1475.6122888203158,0
2021-02-18,I,Torino,1414.2893925325761,0
2021-02-19,I,Torino,1353.9171513137962,0
2021-02-20,I,Torino,1294.9753409536834,0
2021-02-21,I,Torino,1237.8583570460248,0
2021-02-22,I,Torino,1182.9081595215775,0
2021-02-23,I,Torino,1130.4321099773388,0
2021-02-24,I,Torino,1080.6683384372752,0
2021-02-25,I,Torino,1033.8531401466475,0
2021-02-26,I,Torino,990.1694304555449,0
2021-02-27,I,Torino,949.6981341305299,0
2021-02-28,I,Torino,912.3956185492212,0
2021-03-01,I,Torino,878.1372525298364,0
2021-03-02,I,Torino,846.7373638141657,0
2021-03-03,I,Torino,817.990704097599,0
2021-03-04,I,Torino,791.6983328571846,0
2021-03-05,I,Torino,767.6688248036882,0
2021-03-06,I,Torino,745.7368952564084,0
2021-03-07,I,Torino,725.762266586344,0
2021-03-08,I,Torino,707.6319273590595,0
2021-03-09,I,Torino,691.2708660617532,0
2021-03-10,I,Torino,676.5984015100075,0
2021-03-11,I,Torino,663.4796467373246,0
2021-03-12,I,Torino,651.7583195044823,0
2021-03-13,I,Torino,641.2989741593769,0
2021-03-14,I,Torino,631.9867692009643,0
2021-03-15,I,Torino,623.7321355577066,0
2021-03-16,I,Torino,616.4946771012958,0
2021-03-17,I,Torino,610.2655054690068,0
2021-03-18,I,Torino,605.0518658885649,0
2021-03-19,I,Torino,600.8639378005654,0
2021-03-20,I,Torino,597.6950588184574,0
2021-03-21,I,Torino,595.5196724047549,0
2021-03-22,I,Torino,594.2905906194295,0
2021-03-23,I,Torino,593.960294548319,0
2021-03-24,I,Torino,594.5281629872487,0
2021-03-25,I,Torino,596.0498023014936,0
2021-03-26,I,Torino,598.5952546812405,0
2021-03-27,I,Torino,602.1972317952633,0
2021-03-28,I,Torino,606.8279511502336,0
2021-03-29,I,Torino,612.4010554571349,0
2021-03-30,I,Torino,618.8325802234114,0
2021-03-31,I,Torino,625.914269573077,0
2021-04-01,I,Torino,633.0162666466517,0
2021-04-02,I,Torino,639.8452685136468,0
2021-04-03,I,Torino,646.4233513687999,0
2021-01-04,A,Torino,3416.3792415213657,0
2021-01-05,A,Torino,3395.6501670440516,0
2021-01-06,A,Torino,3391.054428121456,0
2021-01-07,A,Torino,3412.9410800566975,0
2021-01-08,A,Torino,3465.3292678353982,0
2021-01-09,A,Torino,3549.829080920754,0
2021-01-10,A,Torino,3668.4388792579934,0
2021-01-11,A,Torino,3824.482456101738,0
2021-01-12,A,Torino,4020.1842113043167,0
2021-01-13,A,Torino,4255.805528931574,0
2021-01-14,A,Torino,4531.612687014592,0
2021-01-15,A,Torino,4849.1785171879565,0
2021-01-16,A,Torino,5212.105243654065,0
2021-01-17,A,Torino,5621.335967148974,0
2021-01-18,A,Torino,6075.538417378532,0
2021-01-19,A,Torino,6572.134221015588,0
2021-01-20,A,Torino,7107.388988591821,0
2021-01-21,A,Torino,7676.557777297073,0
2021-01-22,A,Torino,8274.37007217119,0
2021-01-23,A,Torino,8895.280999611323,0
2021-01-24,A,Torino,9533.67574384294,0
2021-01-25,A,Torino,10183.778091489114,0
2021-01-26,A,Torino,10839.47747494764,0
2021-01-27,A,Torino,11494.809276050215,0
2021-01-28,A,Torino,12143.746248353122,0
2021-01-29,A,Torino,12780.126801507593,0
2021-01-30,A,Torino,13397.588278346055,0
2021-01-31,A,Torino,13989.722648356234,0
2021-02-01,A,Torino,14550.46770232939,0
2021-02-02,A,Torino,14750.010746224674,0
2021-02-03,A,Torino,15215.67927948843,0
2021-02-04,A,Torino,15629.507097635966,0
2021-02-05,A,Torino,15987.580386158561,0
2021-02-06,A,Torino,16287.474934975147,0
2021-02-07,A,Torino,16527.975588657606,0
2021-02-08,A,Torino,16708.636918694527,0
2021-02-09,A,Torino,15377.60871131517,0
2021-02-10,A,Torino,15420.163349348803,0
2021-02-11,A,Torino,15394.099641548197,0
2021-02-12,A,Torino,15300.855403164032,0
2021-02-13,A,Torino,15144.661288412493,0
2021-02-14,A,Torino,14931.71520859439,0
2021-02-15,A,Torino,14669.169989993532,0
2021-02-16,A,Torino,14364.520860260056,0
2021-02-17,A,Torino,14025.313957867489,0
2021-02-18,A,Torino,13658.680567933314,0
2021-02-19,A,Torino,13271.22635869276,0
2021-02-20,A,Torino,12868.992163531835,0
2021-02-21,A,Torino,12457.415327615648,0
2021-02-22,A,Torino,12041.448732782907,0
2021-02-23,A,Torino,11625.645353899523,0
2021-02-24,A,Torino,11214.014255032956,0
2021-02-25,A,Torino,10810.305399812676,0
2021-02-26,A,Torino,10417.821911477822,0
2021-02-27,A,Torino,10039.203585888463,0
2021-02-28,A,Torino,9676.290504129527,0
2021-03-01,A,Torino,9330.268885735355,0
2021-03-02,A,Torino,9001.747570311234,0
2021-03-03,A,Torino,8690.941358234199,0
2021-03-04,A,Torino,8397.81485479526,0
2021-03-05,A,Torino,8122.128441827995,0
2021-03-06,A,Torino,7863.5560331398965,0
2021-03-07,A,Torino,7621.724286883492,0
2021-03-08,A,Torino,7396.25773356682,0
2021-03-09,A,Torino,7186.8605564148775,0
2021-03-10,A,Torino,6993.165034296131,0
2021-03-11,A,Torino,6814.519931476725,0
2021-03-12,A,Torino,6650.102362652577,0
2021-03-13,A,Torino,6499.100487097532,0
2021-03-14,A,Torino,6360.7376341173285,0
2021-03-15,A,Torino,6234.310894219731,0
2021-03-16,A,Torino,6119.317106739064,0
2021-03-17,A,Torino,6015.409966389877,0
2021-03-18,A,Torino,5922.349662147656,0
2021-03-19,A,Torino,5839.951357751322,0
2021-03-20,A,Torino,5767.994711577184,0
2021-03-21,A,Torino,5706.19907190106,0
2021-03-22,A,Torino,5654.196373240273,0
2021-03-23,A,Torino,5611.607031739042,0
2021-03-24,A,Torino,5578.246757812842,0
2021-03-25,A,Torino,5554.200764403642,0
2021-03-26,A,Torino,5539.67602302529,0
2021-03-27,A,Torino,5534.7763102581075,0
2021-03-28,A,Torino,5539.369143649573,0
2021-03-29,A,Torino,5553.049834675802,0
2021-03-30,A,Torino,5575.369458171806,0
2021-03-31,A,Torino,5605.326986924104,0
2021-04-01,A,Torino,5639.9451786051795,0
2021-04-02,A,Torino,5677.323836320607,0
2021-04-03,A,Torino,5716.8453148488425,0
2021-01-04,Q,Torino,579.3513703054343,0
2021-01-05,Q,Torino,580.3666941340198,0
2021-01-06,Q,Torino,581.0066871360766,0
2021-01-07,Q,Torino,581.8965995982207,0
2021-01-08,Q,Torino,583.6939689103691,0
2021-01-09,Q,Torino,586.9839129658533,0
2021-01-10,Q,Torino,592.2778823154366,0
2021-01-11,Q,Torino,600.0630161851224,0
2021-01-12,Q,Torino,610.8139966457998,0
2021-01-13,Q,Torino,624.951421020058,0
2021-01-14,Q,Torino,642.8309835346165,0
2021-01-15,Q,Torino,664.7741101527085,0
2021-01-16,Q,Torino,691.1295061903337,0
2021-01-17,Q,Torino,722.2548323967605,0
2021-01-18,Q,Torino,758.4450521699707,0
2021-01-19,Q,Torino,799.9045168162139,0
2021-01-20,Q,Torino,846.7366838681364,0
2021-01-21,Q,Torino,898.9363474463386,0
2021-01-22,Q,Torino,956.3918418944055,0
2021-01-23,Q,Torino,1018.8953818489631,0
2021-01-24,Q,Torino,1086.1562530401568,0
2021-01-25,Q,Torino,1157.8126693132635,0
2021-01-26,Q,Torino,1233.4351088221642,0
2021-01-27,Q,Torino,1312.534991509927,0
2021-01-28,Q,Torino,1394.5746106474035,0
2021-01-29,Q,Torino,1478.9705849238342,0
2021-01-30,Q,Torino,1565.095180288543,0
2021-01-31,Q,Torino,1652.2777993570407,0
2021-02-01,Q,Torino,1739.8151004067943,0
2021-02-02,Q,Torino,1826.2636488976823,0
2021-02-03,Q,Torino,1910.434915147255,0
2021-02-04,Q,Torino,1991.8634769751736,0
2021-02-05,Q,Torino,2070.000597609172,0
2021-02-06,Q,Torino,2144.2801230991186,0
2021-02-07,Q,Torino,2214.1583053969516,0
2021-02-08,Q,Torino,2279.1361538000274,0
2021-02-09,Q,Torino,2336.0049694788913,0
2021-02-10,Q,Torino,2382.8101654940456,0
2021-02-11,Q,Torino,2420.4977512651303,0
2021-02-12,Q,Torino,2449.636605250668,0
2021-02-13,Q,Torino,2470.6188178033813,0
2021-02-14,Q,Torino,2483.7792743328746,0
2021-02-15,Q,Torino,2489.46212525533,0
2021-02-16,Q,Torino,2488.048814184036,0
2021-02-17,Q,Torino,2479.9684193029916,0
2021-02-18,Q,Torino,2465.6941721593207,0
2021-02-19,Q,Torino,2445.732275589838,0
2021-02-20,Q,Torino,2420.6108624448357,0
2021-02-21,Q,Torino,2390.869044673971,0
2021-02-22,Q,Torino,2357.0482946817638,0
2021-02-23,Q,Torino,2319.6883921961057,0
2021-02-24,Q,Torino,2279.320936331234,0
2021-02-25,Q,Torino,2236.4664896034965,0
2021-02-26,Q,Torino,2191.6328673298967,0
2021-02-27,Q,Torino,2145.30733843335,0
2021-02-28,Q,Torino,2097.944941843918,0
2021-03-01,Q,Torino,2049.9594521962167,0
2021-03-02,Q,Torino,2001.7184563269882,0
2021-03-03,Q,Torino,1953.5420820226007,0
2021-03-04,Q,Torino,1905.7059351053138,0
